GEOID,population,density,nonwhite,college,unemployment,income,gini,uninsured
28051,18075,9.125928438447643,0.15789764868603043,0.04033195020746888,0.19727158499371747,15225,0.5592,0.17540626570614842
28053,8539,7.6487523417996,0.21641878440098372,0.04953741655931608,0.19748711340206185,15290,0.5034,0.15396449704142012
28055,1328,1.1609822062319828,0.39231927710843373,0.021837349397590362,0.15,16894,0.5841,0.10446343779677113
28057,23480,16.774898681546958,0.9091141396933561,0.056942078364565586,0.04392072844134976,21698,0.4299,0.11362463444004817
28059,142014,73.41431703093279,0.7134859943385863,0.08799132479896349,0.08100117003446858,26582,0.4437,0.13543202752666111
28061,16529,9.418192146446689,0.44818198318107566,0.0660052029765866,0.06311449413257215,22112,0.4846,0.1296138902379796
28063,7346,5.37662819751741,0.13326980669752247,0.037026953444051186,0.07794981313400962,16398,0.4982,0.16889729415187663
28065,11495,10.849771318384537,0.37929534580252283,0.053066550674206174,0.09632503994521799,17422,0.5017,0.17733860342555996
28067,68454,37.775578269234174,0.6866362812983902,0.07701522190083852,0.06140894347461642,23603,0.4783,0.10692808912397866
28069,10107,5.08755961083933,0.35331948154744236,0.045611952112397346,0.06776297136376525,16578,0.4562,0.13292645081204096
28071,53459,30.382033575722946,0.7172786621523036,0.13821807366392935,0.06586274588357838,22172,0.5105,0.08941815917111745
28073,61223,47.240521122935476,0.7638142528134851,0.1461542230860951,0.09818861912513421,30100,0.4588,0.12336235523468089
28075,77323,41.75414501098392,0.5436028089960296,0.08222650440360565,0.06875379744811487,22441,0.4918,0.12330373145390597
28077,12630,11.191149011839938,0.6539192399049881,0.06025336500395883,0.09168012924071083,25510,0.4495,0.13669862905143038
28079,22870,15.085993403116424,0.5139484040227372,0.052470485351989504,0.09944999438769783,19180,0.4705,0.1583002883922134
28081,84915,72.3391384455852,0.6757227816051345,0.10092445386563034,0.0644777970086022,25806,0.4701,0.11638541877552964
28083,29804,18.976254105225937,0.24188028452556704,0.06468930344920144,0.11241507103150093,17595,0.5765,0.15843579234972677
28085,34432,22.599154403580517,0.6826498605947955,0.06624651486988847,0.07498274936747681,23151,0.4756,0.13109576101074508
28087,59437,44.4422782972221,0.536181166613389,0.09685885895990713,0.09525339330174283,26367,0.4665,0.1273812216210574
28089,103498,53.85741463364578,0.5709385688612341,0.18231270169471875,0.04563174924954193,36041,0.483,0.07102347601151837
28091,25202,17.73551297774381,0.6532418062058567,0.05670184905959844,0.07335733573357335,18838,0.4942,0.15040019601437438
28093,35787,19.465887237798565,0.4933914549976248,0.06857238662083998,0.06599092713354125,25880,0.4503,0.15381487612906974
28095,35840,17.92534416657322,0.6806919642857143,0.08138950892857143,0.06688053560220378,23768,0.4685,0.11289182848582492
28097,10198,9.653254401056682,0.5293194744067464,0.10011767013139831,0.10481012658227848,20708,0.5035,0.09254294508986198
